RES_ID,Fecha_Viaje,Fecha_Reserva,Lead_Time_Dias,Noches_Estancia,Barco,Compañia,Tipo_Ruta,Suite_Type,Booking_Source,Package,Guest_Country,Cabinas_Totales_Barco,Cabinas_Reservadas,Porcentaje_Ocupacion_Ciclo,Pasajeros_Reserva,Tripulacion,Ingreso_Total_Reserva_USD,Gasto_Promedio_Diario_Huesped_USD,Puntuacion_Satisfaccion
RES-00023,1/5/2018,10/12/2017,85,7,Icon of the Seas,Royal Caribbean,Caribe,Suite,B2B,Full Board + EXC,Germany,2805,1,80.76,2,2350,3458.28,164.22,4.8
RES-00024,1/5/2018,10/17/2017,80,7,Icon of the Seas,Royal Caribbean,Caribe,Balcony,B2B,All Inclusive,Germany,2805,2,80.76,4,2350,7054.88,169.16,4.6
RES-00025,1/5/2018,10/6/2017,91,7,Icon of the Seas,Royal Caribbean,Caribe,Balcony,B2B,All Inclusive,Germany,2805,1,80.76,2,2350,3660.72,178.68,4.7
RES-00026,1/5/2018,9/12/2017,115,7,Icon of the Seas,Royal Caribbean,Caribe,Suite,B2B,All Inclusive + EXC,France,2805,1,80.76,2,2350,3461.78,164.47,4.7
RES-00027,1/5/2018,9/24/2017,103,7,Icon of the Seas,Royal Caribbean,Caribe,Balcony,Web,Full Board + EXC,Canada,2805,1,80.76,3,2350,5115.39,188.39,4.9
RES-00028,1/5/2018,10/7/2017,90,7,Icon of the Seas,Royal Caribbean,Caribe,Balcony,Web,All Inclusive,Spain,2805,1,80.76,1,2350,2538.76,197.08,4.5
RES-00029,1/5/2018,10/29/2017,68,7,Icon of the Seas,Royal Caribbean,Caribe,Interior,Direct,All Inclusive,USA,2805,1,80.76,2,2350,3825.08,190.42,4.8
RES-00030,1/5/2018,7/21/2017,168,7,Icon of the Seas,Royal Caribbean,Caribe,Interior,Direct,All Inclusive,USA,2805,1,80.76,2,2350,3381.7,158.75,4.8
RES-00031,1/5/2018,9/25/2017,102,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Oceanview,B2B,All Inclusive,Mexico,1643,1,81.33,2,1388,3851.46,131.17,4.5
RES-00032,1/5/2018,9/29/2017,98,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Interior,Direct,Full Board,UK,1643,1,81.33,2,1388,3709.26,123.27,4.4
RES-00033,1/5/2018,9/27/2017,100,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Oceanview,Web,All Inclusive,USA,1643,1,81.33,2,1388,3889.26,133.27,4.4
RES-00034,1/5/2018,8/19/2017,139,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Oceanview,B2B,All Inclusive + EXC,Spain,1643,1,81.33,2,1388,4064.58,143.01,4.3
RES-00035,1/5/2018,10/6/2017,91,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Oceanview,Web,Full Board,USA,1643,1,81.33,1,1388,2729.88,137.72,4.5
RES-00036,1/5/2018,9/18/2017,109,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Balcony,B2B,Full Board,Spain,1643,1,81.33,2,1388,3925.26,135.27,4.4
RES-00037,1/5/2018,11/2/2017,64,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Interior,B2B,Full Board,USA,1643,1,81.33,2,1388,4005.9,139.75,4.7
RES-00038,1/5/2018,9/23/2017,104,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Balcony,Web,Full Board,USA,1643,1,81.33,1,1388,2689.74,133.26,4.5
RES-00039,1/5/2018,10/20/2017,77,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Oceanview,Web,All Inclusive,Canada,1643,1,81.33,2,1388,3842.64,130.68,4.5
RES-00040,1/5/2018,10/21/2017,76,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Suite,Direct,Full Board,USA,1643,1,81.33,2,1388,3930.48,135.56,4.5
RES-00041,1/5/2018,11/17/2017,49,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Suite,Direct,Full Board,Spain,1643,1,81.33,1,1388,2737.26,138.54,4.6
RES-00042,1/5/2018,12/25/2017,11,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Balcony,B2B,All Inclusive + EXC,USA,1643,2,81.33,4,1388,7584.84,127.89,4.5
RES-00043,1/5/2018,10/4/2017,93,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Interior,Web,Full Board,USA,1643,1,81.33,1,1388,2724.57,137.13,4.6
RES-00044,1/5/2018,9/2/2017,125,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Interior,B2B,Full Board + EXC,Spain,1643,2,81.33,2,1388,5295.78,128.61,4.5
RES-00045,1/5/2018,10/13/2017,84,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Balcony,Direct,All Inclusive + EXC,Canada,1643,1,81.33,1,1388,2650.05,128.85,4.5
RES-00046,1/5/2018,10/25/2017,72,4,Disney Dream,Disney Cruise Line,Bahamas,Balcony,Web,All Inclusive,USA,1250,2,91,4,1458,4376.16,190.71,4.9
RES-00047,1/5/2018,8/23/2017,135,4,Disney Dream,Disney Cruise Line,Bahamas,Interior,Direct,Full Board + EXC,Germany,1250,1,91,2,1458,2261.76,199.92,5
RES-00048,1/5/2018,10/16/2017,81,4,Disney Dream,Disney Cruise Line,Bahamas,Suite,B2B,All Inclusive,Mexico,1250,1,91,2,1458,2107.84,180.68,4.8
RES-00049,1/5/2018,10/1/2017,96,4,Disney Dream,Disney Cruise Line,Bahamas,Oceanview,B2B,All Inclusive + EXC,USA,1250,1,91,2,1458,2214.32,193.99,5
RES-00050,1/5/2018,9/17/2017,110,4,Disney Dream,Disney Cruise Line,Bahamas,Interior,Web,Full Board,Canada,1250,1,91,2,1458,2260.16,199.72,4.8
RES-00051,1/5/2018,10/17/2017,80,4,Disney Dream,Disney Cruise Line,Bahamas,Suite,B2B,All Inclusive + EXC,Spain,1250,1,91,2,1458,2163.04,187.58,4.9
RES-00052,1/5/2018,8/20/2017,138,4,Disney Dream,Disney Cruise Line,Bahamas,Balcony,Web,Full Board + EXC,Mexico,1250,2,91,4,1458,4274.56,184.36,5
RES-00053,1/5/2018,9/18/2017,109,4,Disney Dream,Disney Cruise Line,Bahamas,Oceanview,B2B,Full Board + EXC,Germany,1250,1,91,1,1458,1385.56,180.79,4.9
RES-00054,1/5/2018,10/7/2017,90,4,Disney Dream,Disney Cruise Line,Bahamas,Balcony,Direct,Full Board,Germany,1250,1,91,2,1458,2152.4,186.25,5
RES-00055,1/5/2018,11/15/2017,51,4,Disney Dream,Disney Cruise Line,Bahamas,Interior,B2B,Full Board,Germany,1250,1,91,2,1458,2040.64,172.28,5
RES-00056,1/5/2018,10/30/2017,67,4,Disney Dream,Disney Cruise Line,Bahamas,Oceanview,Web,All Inclusive,Germany,1250,1,91,2,1458,2042.72,172.54,4.9
RES-00057,1/5/2018,11/27/2017,39,4,Disney Dream,Disney Cruise Line,Bahamas,Oceanview,Web,All Inclusive + EXC,USA,1250,1,91,2,1458,2088.16,178.22,5
RES-00058,1/5/2018,10/28/2017,69,4,Disney Dream,Disney Cruise Line,Bahamas,Oceanview,Web,All Inclusive + EXC,UK,1250,1,91,1,1458,1396.8,183.6,4.8
RES-00059,1/5/2018,11/1/2017,65,4,Disney Dream,Disney Cruise Line,Bahamas,Interior,B2B,All Inclusive,Spain,1250,1,91,1,1458,1412.96,187.64,4.9
RES-00060,1/5/2018,9/13/2017,114,4,Disney Dream,Disney Cruise Line,Bahamas,Balcony,Direct,All Inclusive,France,1250,1,91,1,1458,1396.8,183.6,4.8
RES-00061,1/5/2018,9/22/2017,105,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Balcony,B2B,All Inclusive + EXC,UK,2612,1,83.26,2,1688,1642.72,122.54,4.2
RES-00062,1/5/2018,10/19/2017,78,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Oceanview,Direct,All Inclusive,USA,2612,1,83.26,1,1688,1160.96,124.64,4.1
RES-00063,1/5/2018,10/13/2017,84,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Interior,Web,All Inclusive + EXC,UK,2612,1,83.26,2,1688,1815.12,144.09,4.3
RES-00064,1/5/2018,8/25/2017,133,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Balcony,B2B,All Inclusive,USA,2612,1,83.26,1,1688,1141.56,119.79,4.3
RES-00065,1/5/2018,11/2/2017,64,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Interior,B2B,All Inclusive,USA,2612,1,83.26,1,1688,1113.12,112.68,4.3
RES-00066,1/5/2018,10/4/2017,93,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Suite,B2B,All Inclusive,Mexico,2612,1,83.26,2,1688,1718.64,132.03,4.1
RES-00067,1/5/2018,11/5/2017,61,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Suite,Direct,All Inclusive + EXC,USA,2612,1,83.26,2,1688,1707.2,130.6,3.9
RES-00068,1/5/2018,11/21/2017,45,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Interior,B2B,Full Board,USA,2612,1,83.26,2,1688,1659.2,124.6,4.2
RES-00069,1/5/2018,9/7/2017,120,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Oceanview,B2B,All Inclusive,Mexico,2612,1,83.26,1,1688,1206.08,135.92,4.3
RES-00070,1/5/2018,10/7/2017,90,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Balcony,Direct,All Inclusive + EXC,USA,2612,1,83.26,2,1688,1697.28,129.36,4.2
RES-00071,1/5/2018,10/30/2017,67,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Balcony,Web,All Inclusive,UK,2612,1,83.26,1,1688,1191.6,132.3,4.3
RES-00072,1/5/2018,10/21/2017,76,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Oceanview,B2B,Full Board + EXC,Spain,2612,1,83.26,2,1688,1596.4,116.75,4.2
RES-00073,1/5/2018,9/13/2017,114,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Balcony,Direct,All Inclusive,France,2612,2,83.26,2,1688,2309.6,123.1,4.2
RES-00074,1/5/2018,9/25/2017,102,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Suite,Direct,All Inclusive,USA,2612,1,83.26,2,1688,1702.16,129.97,4.2
RES-00075,1/5/2018,10/10/2017,87,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Interior,B2B,All Inclusive,UK,2612,1,83.26,1,1688,1168.64,126.56,4.3
RES-00076,1/5/2018,8/25/2017,133,9,Celebrity Beyond,Celebrity Cruises,Alaska,Interior,B2B,Full Board,UK,1646,1,91.07,2,1416,4292.28,155.66,4.5
RES-00077,1/5/2018,9/20/2017,107,9,Celebrity Beyond,Celebrity Cruises,Alaska,Interior,Web,All Inclusive + EXC,Spain,1646,1,91.07,1,1416,2960.82,163.38,5
RES-00078,1/5/2018,8/11/2017,147,9,Celebrity Beyond,Celebrity Cruises,Alaska,Balcony,B2B,Full Board + EXC,Canada,1646,2,91.07,4,1416,8579.52,155.52,4.8
RES-00079,1/5/2018,11/16/2017,50,9,Celebrity Beyond,Celebrity Cruises,Alaska,Balcony,Direct,All Inclusive + EXC,UK,1646,2,91.07,2,1416,6265.26,182.47,4.8
RES-00080,1/5/2018,9/13/2017,114,9,Celebrity Beyond,Celebrity Cruises,Alaska,Oceanview,B2B,All Inclusive,Italy,1646,2,91.07,2,1416,5707.44,151.48,4.5
RES-00081,1/5/2018,10/21/2017,76,9,Celebrity Beyond,Celebrity Cruises,Alaska,Balcony,Direct,All Inclusive,Spain,1646,1,91.07,1,1416,3006.27,168.43,4.7
RES-00082,1/5/2018,11/17/2017,49,9,Celebrity Beyond,Celebrity Cruises,Alaska,Oceanview,Direct,Full Board,USA,1646,2,91.07,4,1416,8731.44,159.74,4.5
RES-00083,1/5/2018,10/12/2017,85,9,Celebrity Beyond,Celebrity Cruises,Alaska,Interior,Web,All Inclusive + EXC,Germany,1646,1,91.07,1,1416,2939.31,160.99,4.7
RES-00084,1/5/2018,8/25/2017,133,9,Celebrity Beyond,Celebrity Cruises,Alaska,Interior,B2B,All Inclusive + EXC,Germany,1646,1,91.07,1,1416,3038.49,172.01,4.4
RES-00085,1/5/2018,12/1/2017,35,9,Celebrity Beyond,Celebrity Cruises,Alaska,Interior,B2B,Full Board + EXC,Canada,1646,1,91.07,1,1416,2921.31,158.99,4.7
RES-00086,1/5/2018,11/6/2017,60,9,Celebrity Beyond,Celebrity Cruises,Alaska,Interior,Web,Full Board,USA,1646,1,91.07,1,1416,2909.43,157.67,4.8
RES-00087,1/5/2018,9/18/2017,109,9,Celebrity Beyond,Celebrity Cruises,Alaska,Balcony,B2B,All Inclusive,USA,1646,1,91.07,2,1416,4644.9,175.25,4.6
RES-00088,1/5/2018,12/10/2017,26,9,Celebrity Beyond,Celebrity Cruises,Alaska,Interior,B2B,Full Board + EXC,USA,1646,2,91.07,4,1416,8657.64,157.69,4.8
RES-00089,1/5/2018,11/26/2017,40,9,Celebrity Beyond,Celebrity Cruises,Alaska,Interior,B2B,All Inclusive + EXC,USA,1646,1,91.07,2,1416,4149.36,147.72,4.6
RES-00090,1/5/2018,9/8/2017,119,9,Celebrity Beyond,Celebrity Cruises,Alaska,Suite,Web,All Inclusive,France,1646,1,91.07,1,1416,2921.22,158.98,4.7
RES-00091,1/5/2018,10/12/2017,85,12,Queen Mary 2,Cunard Line,Transatlántico,Balcony,B2B,All Inclusive,Italy,1347,1,86.18,2,1253,6449.04,185.91,4.9
RES-00092,1/5/2018,8/17/2017,141,12,Queen Mary 2,Cunard Line,Transatlántico,Balcony,Web,Full Board,USA,1347,1,86.18,2,1253,6397.68,183.77,4.6
RES-00093,1/5/2018,10/6/2017,91,12,Queen Mary 2,Cunard Line,Transatlántico,Oceanview,B2B,All Inclusive,UK,1347,1,86.18,1,1253,4230.96,186.98,4.7
RES-00094,1/5/2018,8/1/2017,157,12,Queen Mary 2,Cunard Line,Transatlántico,Oceanview,Web,All Inclusive,Germany,1347,2,86.18,2,1253,8623.44,193.71,4.9
RES-00095,1/5/2018,7/15/2017,174,12,Queen Mary 2,Cunard Line,Transatlántico,Interior,B2B,All Inclusive + EXC,USA,1347,1,86.18,1,1253,4373.28,198.84,4.8
RES-00096,1/5/2018,12/6/2017,30,12,Queen Mary 2,Cunard Line,Transatlántico,Interior,Web,All Inclusive + EXC,UK,1347,1,86.18,1,1253,4492.8,208.8,4.9
RES-00097,1/5/2018,10/15/2017,82,12,Queen Mary 2,Cunard Line,Transatlántico,Interior,Direct,All Inclusive,USA,1347,1,86.18,2,1253,7103.28,213.17,4.8
RES-00098,1/5/2018,10/28/2017,69,12,Queen Mary 2,Cunard Line,Transatlántico,Balcony,Web,Full Board,UK,1347,1,86.18,2,1253,6949.2,206.75,4.8
RES-00099,1/5/2018,11/19/2017,47,12,Queen Mary 2,Cunard Line,Transatlántico,Interior,Direct,Full Board + EXC,USA,1347,2,86.18,4,1253,14238.24,213.83,4.8
RES-00100,1/5/2018,12/1/2017,35,12,Queen Mary 2,Cunard Line,Transatlántico,Balcony,B2B,Full Board,USA,1347,1,86.18,2,1253,6898.8,204.65,4.7
RES-00101,1/5/2018,8/23/2017,135,12,Queen Mary 2,Cunard Line,Transatlántico,Oceanview,Web,All Inclusive,USA,1347,1,86.18,2,1253,7055.52,211.18,4.8
RES-00102,1/5/2018,9/18/2017,109,12,Queen Mary 2,Cunard Line,Transatlántico,Balcony,B2B,All Inclusive,France,1347,1,86.18,2,1253,6719.28,197.17,5
RES-00103,1/5/2018,10/28/2017,69,12,Queen Mary 2,Cunard Line,Transatlántico,Oceanview,Direct,Full Board + EXC,Mexico,1347,1,86.18,2,1253,6632.88,193.57,4.9
RES-00104,1/5/2018,12/19/2017,17,12,Queen Mary 2,Cunard Line,Transatlántico,Interior,B2B,All Inclusive,USA,1347,1,86.18,1,1253,4535.52,212.36,4.8
RES-00105,1/5/2018,10/7/2017,90,12,Queen Mary 2,Cunard Line,Transatlántico,Suite,Direct,Full Board,USA,1347,1,86.18,2,1253,6463.44,186.51,4.8
RES-00106,1/5/2018,10/26/2017,71,6,AIDAcosma,AIDA Cruises,Canarias,Interior,Web,All Inclusive,USA,2732,1,82.05,1,1500,1681.32,114.62,4.4
RES-00107,1/5/2018,8/19/2017,139,6,AIDAcosma,AIDA Cruises,Canarias,Balcony,B2B,All Inclusive,Germany,2732,1,82.05,2,1500,2402.76,117.43,4.4
RES-00108,1/5/2018,9/23/2017,104,6,AIDAcosma,AIDA Cruises,Canarias,Interior,Web,Full Board + EXC,France,2732,1,82.05,2,1500,2416.08,118.54,4.2
RES-00109,1/5/2018,10/31/2017,66,6,AIDAcosma,AIDA Cruises,Canarias,Oceanview,B2B,Full Board,Spain,2732,2,82.05,4,1500,4357.92,98.78,4.2
RES-00110,1/5/2018,12/9/2017,27,6,AIDAcosma,AIDA Cruises,Canarias,Balcony,Web,All Inclusive,UK,2732,2,82.05,4,1500,4942.32,123.13,4.4
RES-00111,1/5/2018,9/5/2017,122,6,AIDAcosma,AIDA Cruises,Canarias,Balcony,Web,Full Board,Italy,2732,1,82.05,2,1500,2382.24,115.72,4.4
RES-00112,1/5/2018,10/25/2017,72,6,AIDAcosma,AIDA Cruises,Canarias,Balcony,Web,All Inclusive,Italy,2732,1,82.05,1,1500,1724.4,121.8,4.2
RES-00113,1/5/2018,10/6/2017,91,6,AIDAcosma,AIDA Cruises,Canarias,Balcony,Direct,All Inclusive,USA,2732,1,82.05,2,1500,2482.8,124.1,4.1
RES-00114,1/5/2018,9/24/2017,103,6,AIDAcosma,AIDA Cruises,Canarias,Oceanview,Web,All Inclusive,UK,2732,1,82.05,2,1500,2472.48,123.24,4.3
RES-00115,1/5/2018,9/5/2017,122,6,AIDAcosma,AIDA Cruises,Canarias,Interior,Web,Full Board,USA,2732,1,82.05,1,1500,1646.28,108.78,4.4
RES-00116,1/5/2018,9/30/2017,97,6,AIDAcosma,AIDA Cruises,Canarias,Balcony,B2B,Full Board + EXC,Mexico,2732,1,82.05,1,1500,1767.36,128.96,4.3
RES-00117,1/5/2018,12/2/2017,34,6,AIDAcosma,AIDA Cruises,Canarias,Balcony,B2B,All Inclusive,Mexico,2732,1,82.05,1,1500,1734.48,123.48,4.4
RES-00118,1/5/2018,10/20/2017,77,6,AIDAcosma,AIDA Cruises,Canarias,Interior,B2B,Full Board,UK,2732,2,82.05,2,1500,3554.88,130.64,4.2
RES-00119,1/5/2018,10/21/2017,76,6,AIDAcosma,AIDA Cruises,Canarias,Oceanview,B2B,Full Board + EXC,Spain,2732,1,82.05,2,1500,2434.08,120.04,4.3
RES-00120,1/5/2018,10/3/2017,94,6,AIDAcosma,AIDA Cruises,Canarias,Oceanview,Web,All Inclusive + EXC,Mexico,2732,1,82.05,1,1500,1731.66,123.01,4.4
RES-00121,1/6/2018,10/17/2017,81,8,MSC World Europa,MSC Cruceros,Mediterráneo,Interior,B2B,Full Board + EXC,Germany,2626,1,87.85,2,2138,3799.2,154.65,4.4
RES-00122,1/6/2018,12/8/2017,29,8,MSC World Europa,MSC Cruceros,Mediterráneo,Oceanview,B2B,All Inclusive + EXC,USA,2626,1,87.85,2,2138,3699.36,148.41,4.2
RES-00123,1/6/2018,12/8/2017,29,8,MSC World Europa,MSC Cruceros,Mediterráneo,Interior,B2B,All Inclusive,Spain,2626,1,87.85,2,2138,3798.72,154.62,4.6
RES-00124,1/6/2018,7/21/2017,169,8,MSC World Europa,MSC Cruceros,Mediterráneo,Interior,Direct,All Inclusive,USA,2626,1,87.85,1,2138,2525.76,150.12,4.5
RES-00125,1/6/2018,11/18/2017,49,8,MSC World Europa,MSC Cruceros,Mediterráneo,Oceanview,Direct,All Inclusive,Spain,2626,1,87.85,1,2138,2599.28,159.31,4.6
RES-00126,1/6/2018,8/11/2017,148,8,MSC World Europa,MSC Cruceros,Mediterráneo,Interior,B2B,All Inclusive,Germany,2626,2,87.85,4,2138,7724.48,158.59,4.6
RES-00127,1/6/2018,8/28/2017,131,8,MSC World Europa,MSC Cruceros,Mediterráneo,Oceanview,Web,All Inclusive,France,2626,1,87.85,2,2138,3802.4,154.85,4.8
RES-00128,1/6/2018,11/19/2017,48,8,MSC World Europa,MSC Cruceros,Mediterráneo,Balcony,B2B,All Inclusive,USA,2626,1,87.85,1,2138,2537.76,151.62,4.8
RES-00129,1/6/2018,10/12/2017,86,8,MSC World Europa,MSC Cruceros,Mediterráneo,Balcony,Web,All Inclusive,Mexico,2626,1,87.85,2,2138,3692.64,147.99,4.5
RES-00130,1/6/2018,9/11/2017,117,8,MSC World Europa,MSC Cruceros,Mediterráneo,Interior,B2B,All Inclusive + EXC,France,2626,1,87.85,2,2138,3604.8,142.5,4.3
RES-00131,1/6/2018,8/16/2017,143,8,MSC World Europa,MSC Cruceros,Mediterráneo,Suite,B2B,Full Board + EXC,Germany,2626,1,87.85,1,2138,2440.08,139.41,4.4
RES-00132,1/6/2018,8/26/2017,133,8,MSC World Europa,MSC Cruceros,Mediterráneo,Balcony,Web,All Inclusive,Germany,2626,1,87.85,2,2138,3813.6,155.55,4.5
RES-00133,1/6/2018,10/14/2017,84,8,MSC World Europa,MSC Cruceros,Mediterráneo,Interior,B2B,Full Board + EXC,USA,2626,1,87.85,2,2138,3734.56,150.61,4.6
RES-00134,1/6/2018,9/30/2017,98,8,MSC World Europa,MSC Cruceros,Mediterráneo,Oceanview,B2B,All Inclusive + EXC,USA,2626,1,87.85,1,2138,2460.56,141.97,4.7
RES-00135,1/6/2018,10/11/2017,87,8,MSC World Europa,MSC Cruceros,Mediterráneo,Balcony,B2B,Full Board + EXC,Spain,2626,1,87.85,1,2138,2523.44,149.83,4.7
RES-00136,1/6/2018,9/14/2017,114,5,Icon of the Seas,Royal Caribbean,Caribe,Balcony,B2B,All Inclusive,USA,2805,1,87.88,2,2350,2628.1,180.01,4.9
RES-00137,1/6/2018,10/16/2017,82,5,Icon of the Seas,Royal Caribbean,Caribe,Balcony,Web,All Inclusive,USA,2805,1,87.88,1,2350,1705.4,175.48,4.7
RES-00138,1/6/2018,10/9/2017,89,5,Icon of the Seas,Royal Caribbean,Caribe,Suite,B2B,All Inclusive + EXC,USA,2805,2,87.88,4,2350,5365,185.45,4.4
RES-00139,1/6/2018,9/5/2017,123,5,Icon of the Seas,Royal Caribbean,Caribe,Oceanview,Web,All Inclusive,USA,2805,1,87.88,1,2350,1723.4,179.08,4.7
RES-00140,1/6/2018,10/15/2017,83,5,Icon of the Seas,Royal Caribbean,Caribe,Oceanview,Web,All Inclusive,UK,2805,1,87.88,3,2350,3504.3,178.42,5
RES-00141,1/6/2018,9/21/2017,107,5,Icon of the Seas,Royal Caribbean,Caribe,Interior,Web,Full Board,UK,2805,1,87.88,1,2350,1677.1,169.82,4.8
RES-00142,1/6/2018,9/8/2017,120,5,Icon of the Seas,Royal Caribbean,Caribe,Balcony,Web,All Inclusive,Mexico,2805,1,87.88,1,2350,1782.45,190.89,4.9
RES-00143,1/6/2018,9/23/2017,105,5,Icon of the Seas,Royal Caribbean,Caribe,Balcony,B2B,All Inclusive,UK,2805,1,87.88,2,2350,2708.3,188.03,4.8
